85 0 0
85 0700 0
87.399 0612 2
89 0 3
89 0 4
89.9 0432 0
90 0503 6
90 0504 6
90 0550 5
90 0550 5
90 0551 6
90.25 01030 7
91.932 0427 0
92 0527 6
92.15 0650 6
94.9 01030 3
98 0400 0
98.9 0500 0
99 0500 0
99 0500 5
99 0 6
99 0650 6
99 0650 6
99 0 7
99 0744 0
99.9 0 8
100 0 2
100 0650 5
100.5 0655 6
103.098 0 0
104 0 0
104.9 0636 6
104.9 0 7
105 0 0
105 0600 6
106 0688 6
108 0352 5
108.75 01192 9
109 0400 0
109.9 0600 7
109.9 0676 0
109.9 0700 5
110 0 6
110 0701 0
110 0757 10
110.635 0609 0
111.2 0493 0
111.2 0668 6
112 0680 0
112.099 0692 11
113.2 0518 0
115 0 0
115 0490 6
115 0 6
115 0802 5
115 0815 0
115.5 0488 0
116 0 6
116.46 0695 2
118 0450 7
118.146 0525 5
118.9 0 12
118.9 0 12
118.9 0 12
119 0488 0
119.25 0742 0
119.9 0 0
119.9 0 10
119.9 0825 6
120 0 0
120 0 7
120 0 7
120 0700 0
123.5 0569 0
124.9 0 0
124.9 0757 0
125 0 0
125 0 6
125 0 6
125 0713 5
125 0756 6
125.248 0570 6
126.085 0615 6
128 01032 0
129 0539 0
129 0570 6
129 0 6
129 0600 7
129 0628 6
129 0690 6
129.9 0544 10
130 0 0
130 01280 0
130 0550 7
130 0640 7
130.5 0586 5
131.25 0540 0
131.265 0582 0
131.265 0584 0
131.3 0870 5
132.5 0500 0
132.87 0659 5
133 0634 0
133 0 7
134 0 7
134 0700 0
134.7 01052 7
134.9 0850 6
134.95 0615 5
135 0450 7
135 0450 7
135 0500 0
135 0610 5
135 0650 6
135 0757 10
135 0817 6
135 0950 6
135.212 0616 0
135.9 0 8
136.501 0617 0
136.8 0 7
137 0 4
137 0503 6
137 0710 6
137.186 0627 0
137.7 0862 0
138 0 13
139 0 6
139 0632 6
139 0650 6
139 0694 0
139 0 7
139 0 8
139.86 0 4
139.95 0796 0
140 0500 0
140 0700 5
140.393 0757 0
141.75 0752 5
142.999 0535 5
143.91 0489 14
144 0577 6
144 0640 15
144 0 7
144.888 0 4
144.9 01300 3
144.9 0640 0
145 0 0
145 0 0
145 0 0
145 0 5
145 0561 5
145 0600 6
145 0661 0
145 0815 6
145.6 0643 0
145.9 0900 0
146.7 0550 6
147 0 8
147 0800 7
147.2 0550 10
147.25 0650 6
148 0840 0
149 0 0
149 0 0
149 01800 0
149 0 3
149 0431 0
149 0538 0
149 0540 10
149 0607 0
149 0950 6
149.888 0 16
149.9 0 0
149.9 0 0
149.9 0 5
149.9 0675 0
150 0 0
150 01176 5
150 01415 0
150 0429 2
150 0 5
150 0 5
150 0500 2
150 0 6
150 0 6
150 0694 0
150 0850 7
150 0920 5
150.75 0475 6
153 0746 0
153 0850 0
154 0 0
154.375 0 7
154.9 01084 0
154.999 0 17
155 0 0
156 0600 18
156.271 0458 6
156.887 0680 0
157 0 6
157 0780 5
157 0800 6
158 0 4
158 0800 0
158.499 0 0
158.5 0689 6
159 0 0
159 0 10
159 0 2
159 0600 7
159 0664 6
159 0700 0
159 0725 0
159 0725 0
159 0745 0
159 0770 0
159 0 9
159.9 0 0
159.9 0597 6
159.9 0597 6
159.9 0738 10
160 0 3
160 0 3
160 0 4
160 0500 14
160 0500 14
160 0678 0
160 0812 6
161 0775 0
161.4 0791 0
164 0756 6
164.9 0 10
165 0 18
165 0445 2
165 0533 7
165 0661 0
165 0700 7
165 0788 5
165.26 0655 11
167 0650 7
167.5 0549 6
167.84 0730 0
168.75 0700 5
168.75 0750 0
169 0 0
169 01100 6
169 01300 5
169 0 3
169 0445 2
169 0541 0
169 0599 2
169 0650 7
169 0 7
169 0745 0
169 0932 10
169.084 0608 0
169.5 0 5
169.9 0 16
169.9 0 4
169.9 0642 6
169.9 0642 6
170 0 5
170 0823 7
170 0884 7
170.2 01115 6
170.671 0600 9
171 0804 5
172 0661 7
172 0725 15
172.5 0 4
173.6 0610 0
174 0 6
174.014 0685 0
174.014 0705 0
174.014 0753 0
174.014 0894 0
174.014 0898 0
174.9 0800 10
175 0 0
175 0 16
175 0 4
175 04000 0
175 0500 5
175 0515 0
175 0663 6
175 0700 0
175 0793 7
175 0876 10
175.75 0539 6
175.75 0724 0
176 0738 10
176.7 0918 0
177.6 0 7
177.763 01045 7
178.01 0757 10
178.08 0 6
178.703 0791 0
178.767 0 7
178.9 0 0
179 0 0
179 01120 6
179 0 16
179 0315 2
179 0551 5
179.888 0725 0
179.9 0 19
179.9 0 3
179.9 0 6
179.9 0911 6
179.999 0 3
180 0 0
180 0 2
180 0810 0
180.084 0 0
181.649 0813 0
182 0543 5
182.36 0853 0
182.825 0 5
183.476 0 2
183.977 0757 10
184 0593 0
185 01066 6
185 0 3
185 0567 5
185 0605 6
185 0833 6
185 0850 6
185 0869 6
186 0 10
187.226 0620 0
187.5 0 0
187.5 0 0
187.5 0800 0
188 0445 2
188 0862 0
188.1 0820 5
188.533 0561 5
188.988 0 8
189 0 0
189 01100 6
189 01280 6
189 0 15
189 0 2
189 0551 5
189 0695 5
189 0697 0
189 0850 7
189.15 0306 2
189.9 01000 6
189.9 0 3
189.9 0 3
189.9 0830 6
189.9 0952 7
189.998 0825 6
190 0 0
190 0 10
190 0 15
190 0557 0
190 0567 10
190 0600 7
190 0636 6
190 0750 6
190 0839 10
190.4 0730 0
190.55 0 2
191 0650 6
192 0937 0
193.9 0 16
195 01100 6
195 0 2
195 0 3
195 0306 2
195 0317 2
195 0445 2
195 0 6
195 0800 7
195 0910 0
195 0932 10
195.7 0978 10
195.9 0 10
196 0 4
196 0843 20
196.267 0284 2
197.342 01200 6
198 0 3
198.5 0825 0
198.8 0 6
198.8 0600 6
199 0 0
199 0 0
199 0 10
199 01010 0
199 01200 6
199 0 13
199 0 19
199 0 2
199 0 3
199 0 4
199 0500 7
199 0600 0
199 0611 5
199 0 7
199 0710 0
199 0766 10
199 0800 5
199 0850 0
199.244 0540 6
199.844 0 13
199.9 0 10
199.9 01050 6
199.9 0 3
199.9 0 3
199.9 0 6
199.9 0 7
199.9 0 9
199.9 0919 10
199.999 02500 0
200 0 11
200 0 2
200 0538 7
200 0852 2
200 0886 5
202 0625 7
203.2 0723 0
203.85 0702 6
205 01082 16
205 0 16
205 0618 2
206 01090 6
206.6 0871 0
206.876 0317 2
208 0 16
208 0 2
209 0 0
209 01675 6
209 0 4
209 0900 5
209.5 0970 10
210 01000 6
210 0 19
210 0 4
210 0450 2
210 0771 0
210 0976 6
211 0 6
212 01240 6
213.738 0677 5
215 0 10
215 01240 6
215 01250 6
215 01319 0
215 01428 7
215 0 4
215 0425 2
215 0436 0
215 0 6
215 0617 7
215 0767 5
215 0767 5
216 01191 5
216.7 0916 6
216.8 0 6
217 0537 14
219 0 16
219 0 3
219 0 3
219 0 4
219 0 4
219 0460 0
219 0 5
219 0675 9
219 0 8
219 0 8
219 0 8
219 0979 10
219.9 0749 0
219.9 09999 6
220 0 0
220 0 0
220 0 11
220 01100 11
220 01100 11
220 01100 11
220 01154 10
220 0 19
220 0 4
220 0 7
220 0797 7
220 0800 5
220 0950 10
220 0950 10
220 0980 7
221.45 0357 2
222.4 01292 6
224.4 0780 0
224.44 01051 0
224.9 0 4
224.9 0960 5
225 0 0
225 0 0
225 01003 10
225 01050 0
225 01054 0
225 01101 0
225 0 16
